source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,,,0.0,,,[0]
0,1,,,434.0,,,"[0, 10, 9, 1]"
0,2,,,850.0,,,"[0, 89, 58, 3, 79, 6, 98, 2]"
0,3,,,332.0,,,"[0, 89, 58, 3]"
0,4,,,566.0,,,"[0, 85, 35, 4]"
0,5,,,726.0,,,"[0, 10, 5]"
0,6,,,389.0,,,"[0, 89, 58, 3, 79, 6]"
0,7,,,526.0,,,"[0, 46, 7]"
0,8,,,708.0,,,"[0, 10, 30, 40, 8]"
0,9,,,394.0,,,"[0, 10, 9]"
0,10,,,125.0,,,"[0, 10]"
0,11,,,663.0,,,"[0, 89, 58, 3, 15, 11]"
0,12,,,184.0,,,"[0, 12]"
0,13,,,528.0,,,"[0, 10, 13]"
0,14,,,645.0,,,"[0, 78, 14]"
0,15,,,449.0,,,"[0, 89, 58, 3, 15]"
0,16,,,541.0,,,"[0, 12, 72, 16]"
0,17,,,318.0,,,"[0, 17]"
0,18,,,644.0,,,"[0, 85, 18]"
0,19,,,547.0,,,"[0, 85, 19]"
0,20,,,544.0,,,"[0, 89, 58, 3, 79, 6, 31, 20]"
0,21,,,322.0,,,"[0, 12, 21]"
0,22,,,336.0,,,"[0, 89, 58, 3, 22]"
0,23,,,507.0,,,"[0, 12, 72, 23]"
0,24,,,267.0,,,"[0, 12, 24]"
0,25,,,680.0,,,"[0, 48, 63, 29, 25]"
0,26,,,338.0,,,"[0, 89, 26]"
0,27,,,360.0,,,"[0, 27]"
0,28,,,368.0,,,"[0, 28]"
0,29,,,619.0,,,"[0, 48, 63, 29]"
0,30,,,215.0,,,"[0, 10, 30]"
0,31,,,497.0,,,"[0, 89, 58, 3, 79, 6, 31]"
0,32,,,298.0,,,"[0, 10, 32]"
0,33,,,403.0,,,"[0, 94, 33]"
0,34,,,736.0,,,"[0, 85, 76, 62, 34]"
0,35,,,558.0,,,"[0, 85, 35]"
0,36,,,455.0,,,"[0, 12, 24, 36]"
0,37,,,737.0,,,"[0, 48, 63, 97, 37]"
0,38,,,495.0,,,"[0, 28, 38]"
0,39,,,511.0,,,"[0, 10, 30, 39]"
0,40,,,359.0,,,"[0, 10, 30, 40]"
0,41,,,285.0,,,"[0, 10, 41]"
0,42,,,818.0,,,"[0, 48, 42]"
0,43,,,230.0,,,"[0, 10, 30, 43]"
0,44,,,641.0,,,"[0, 46, 44]"
0,45,,,651.0,,,"[0, 78, 14, 45]"
0,46,,,353.0,,,"[0, 46]"
0,47,,,540.0,,,"[0, 28, 56, 47]"
