source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,inf,inf,,None,None,
0,2,1351.0,1351.0,,"[0, 2]","[0, 2]",
0,3,1748.0,1748.0,,"[0, 8, 3]","[0, 8, 3]",
0,4,951.0,951.0,,"[0, 7, 4]","[0, 7, 4]",
0,5,1432.0,1432.0,,"[0, 7, 5]","[0, 7, 5]",
0,6,1501.0,1501.0,,"[0, 8, 6]","[0, 8, 6]",
0,7,414.0,414.0,,"[0, 7]","[0, 7]",
0,8,512.0,512.0,,"[0, 8]","[0, 8]",
0,9,2231.0,2231.0,,"[0, 2, 9]","[0, 2, 9]",
1,0,644.0,644.0,,"[1, 0]","[1, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,1371.0,1371.0,,"[1, 9, 2]","[1, 9, 2]",
1,3,2297.0,2297.0,,"[1, 5, 4, 3]","[1, 5, 4, 3]",
1,4,1198.0,1198.0,,"[1, 5, 4]","[1, 5, 4]",
1,5,634.0,634.0,,"[1, 5]","[1, 5]",
1,6,1052.0,1052.0,,"[1, 9, 6]","[1, 9, 6]",
1,7,1058.0,1058.0,,"[1, 0, 7]","[1, 0, 7]",
1,8,1156.0,1156.0,,"[1, 0, 8]","[1, 0, 8]",
1,9,408.0,408.0,,"[1, 9]","[1, 9]",
2,0,3315.0,3315.0,,"[2, 9, 7, 4, 0]","[2, 9, 7, 4, 0]",
2,1,inf,inf,,None,None,
2,2,0.0,0.0,,[2],[2],
2,3,3291.0,3291.0,,"[2, 9, 7, 8, 3]","[2, 9, 7, 8, 3]",
2,4,2335.0,2335.0,,"[2, 9, 7, 4]","[2, 9, 7, 4]",
2,5,2816.0,2816.0,,"[2, 9, 7, 5]","[2, 9, 7, 5]",
2,6,1524.0,1524.0,,"[2, 9, 6]","[2, 9, 6]",
2,7,1798.0,1798.0,,"[2, 9, 7]","[2, 9, 7]",
2,8,2055.0,2055.0,,"[2, 9, 7, 8]","[2, 9, 7, 8]",
2,9,880.0,880.0,,"[2, 9]","[2, 9]",
3,0,2049.0,2049.0,,"[3, 4, 0]","[3, 4, 0]",
3,1,inf,inf,,None,None,
3,2,1087.0,1087.0,,"[3, 2]","[3, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,1069.0,1069.0,,"[3, 4]","[3, 4]",
3,5,3481.0,3481.0,,"[3, 4, 0, 7, 5]","[3, 4, 0, 7, 5]",
3,6,2611.0,2611.0,,"[3, 2, 9, 6]","[3, 2, 9, 6]",
3,7,2463.0,2463.0,,"[3, 4, 0, 7]","[3, 4, 0, 7]",
3,8,2561.0,2561.0,,"[3, 4, 0, 8]","[3, 4, 0, 8]",
3,9,1967.0,1967.0,,"[3, 2, 9]","[3, 2, 9]",
4,0,980.0,980.0,,"[4, 0]","[4, 0]",
4,1,inf,inf,,None,None,
4,2,2186.0,2186.0,,"[4, 3, 2]","[4, 3, 2]",
4,3,1099.0,1099.0,,"[4, 3]","[4, 3]",
4,4,0.0,0.0,,[4],[4],
4,5,2412.0,2412.0,,"[4, 0, 7, 5]","[4, 0, 7, 5]",
4,6,2481.0,2481.0,,"[4, 0, 8, 6]","[4, 0, 8, 6]",
4,7,1394.0,1394.0,,"[4, 0, 7]","[4, 0, 7]",
4,8,1492.0,1492.0,,"[4, 0, 8]","[4, 0, 8]",
4,9,3066.0,3066.0,,"[4, 3, 2, 9]","[4, 3, 2, 9]",
5,0,1544.0,1544.0,,"[5, 4, 0]","[5, 4, 0]",
5,1,inf,inf,,None,None,
5,2,2750.0,2750.0,,"[5, 4, 3, 2]","[5, 4, 3, 2]",
5,3,1663.0,1663.0,,"[5, 4, 3]","[5, 4, 3]",
5,4,564.0,564.0,,"[5, 4]","[5, 4]",
5,5,0.0,0.0,,[5],[5],
5,6,3045.0,3045.0,,"[5, 4, 0, 8, 6]","[5, 4, 0, 8, 6]",
5,7,1958.0,1958.0,,"[5, 4, 0, 7]","[5, 4, 0, 7]",
5,8,2056.0,2056.0,,"[5, 4, 0, 8]","[5, 4, 0, 8]",
5,9,3630.0,3630.0,,"[5, 4, 3, 2, 9]","[5, 4, 3, 2, 9]",
6,0,2376.0,2376.0,,"[6, 7, 4, 0]","[6, 7, 4, 0]",
